Test ID,Nhóm,Test Name,Purpose,Pre-condition,Test Equipment,Test Procedure,Acceptance Criteria,Expected result,Th?i gian,Giá tr? ?o th?c t?,Pass/Fail,Evidence / Log,Executed By,Executed Date,Severity khi Fail
ST-CPU-001,CPU/GPU/AI Stress,CPU 30% Load Stress,Ki?m tra robot có ho?t ??ng ?n ??nh khi CPU ph?i x? lý t?i kho?ng 30%.,Robot b?t bình th??ng; pin ?50%; robot ? v? trí an toàn; không có c?nh báo Critical; ?ã b?t ghi log.,Robot; PC k?t n?i SSH; htop ho?c top; nhi?t k?/thermal camera.,"1. ??t robot ? tr?ng thái ??ng yên và b?o ??m E-stop ho?t ??ng.
2. K?t n?i PC v?i robot qua SSH.
3. M? terminal và ch?y `htop` ho?c `top`.
4. Ghi l?i CPU, RAM và nhi?t ?? tr??c khi test.
5. T?o CPU load kho?ng 30% b?ng công c? stress.
6. Duy trì t?i trong 30 phút.
7. C? m?i 5 phút ghi CPU load, nhi?t ?? CPU và CPU frequency.
8. Trong th?i gian test ki?m tra robot v?n nh?n l?nh Start/Stop ho?c l?nh an toàn c? b?n.
9. Sau 30 phút d?ng công c? stress.
10. Ki?m tra log và ghi nh?n m?i l?i.",CPU duy trì g?n m?c m?c tiêu; robot v?n ph?n h?i l?nh; không t? reboot ho?c crash.,CPU trung bình ?25%; không reboot/crash; nhi?t ?? không v??t gi?i h?n thi?t k?; không có l?i Critical.,30 min,,,,,,Major
ST-CPU-002,CPU/GPU/AI Stress,CPU 50% Load Stress,Ki?m tra robot có ho?t ??ng ?n ??nh khi CPU ph?i x? lý t?i kho?ng 50%.,Robot b?t bình th??ng; pin ?50%; robot ? v? trí an toàn; không có c?nh báo Critical; ?ã b?t ghi log.,Robot; PC/SSH; htop/top; nhi?t k?/thermal camera.,"1. ??t robot ? v? trí an toàn.
2. K?t n?i SSH và m? `htop`.
3. Ghi CPU, RAM và nhi?t ?? ban ??u.
4. T?o CPU load kho?ng 50%.
5. Duy trì 30 phút.
6. Ghi CPU load và nhi?t ?? m?i 5 phút.
7. Ki?m tra robot v?n ph?n h?i l?nh an toàn.
8. D?ng stress tool và ki?m tra log.",CPU duy trì g?n 50%; robot v?n ho?t ??ng bình th??ng và không crash.,CPU trung bình ?45%; không reboot/crash; nhi?t ?? trong gi?i h?n thi?t k?; không l?i Critical.,30 min,,,,,,Major
ST-CPU-003,CPU/GPU/AI Stress,CPU 70% Load Stress,Ki?m tra robot có ho?t ??ng ?n ??nh khi CPU ph?i x? lý t?i kho?ng 70%.,Robot b?t bình th??ng; pin ?50%; robot ? v? trí an toàn; không có c?nh báo Critical; ?ã b?t ghi log.,Robot; PC/SSH; htop/top; nhi?t k?/thermal camera.,"1. ??t robot ? v? trí an toàn.
2. M? `htop` qua SSH.
3. Ghi thông s? ban ??u.
4. T?o CPU load kho?ng 70%.
5. Duy trì 30 phút.
6. Ghi CPU load, nhi?t ?? và frequency m?i 5 phút.
7. Ki?m tra ch?c n?ng robot.
8. D?ng stress và ki?m tra log.",CPU duy trì g?n 70%; robot v?n ph?n h?i l?nh và không crash.,CPU trung bình ?65%; không reboot/crash; nhi?t ?? trong gi?i h?n thi?t k?.,30 min,,,,,,Major
ST-CPU-004,CPU/GPU/AI Stress,CPU 80% Load Stress,Ki?m tra ?? ?n ??nh khi CPU ho?t ??ng ? t?i cao kho?ng 80%.,Robot b?t bình th??ng; pin ?50%; robot ? v? trí an toàn; không có c?nh báo Critical; ?ã b?t ghi log.,Robot; PC/SSH; htop/top; nhi?t k?/thermal camera.,"1. ??t robot ? v? trí an toàn và ki?m tra E-stop.
2. K?t n?i SSH và m? `htop`.
3. Ghi CPU/RAM/nhi?t ?? ban ??u.
4. T?o CPU load kho?ng 80%.
5. Duy trì 60 phút.
6. Ghi CPU load và nhi?t ?? m?i 5 phút.
7. Ki?m tra robot v?n nh?n l?nh an toàn.
8. D?ng stress tool.
9. Ki?m tra system log.",Robot v?n ho?t ??ng ?n ??nh ? t?i CPU cao; không t? reset.,CPU trung bình ?75%; không reboot/crash; không thermal shutdown; nhi?t ?? trong gi?i h?n.,60 min,,,,,,Major
ST-CPU-005,CPU/GPU/AI Stress,CPU 90% Load Stress,Ki?m tra ?? ?n ??nh khi CPU ho?t ??ng ? t?i r?t cao.,Robot b?t bình th??ng; pin ?50%; robot ? v? trí an toàn; không có c?nh báo Critical; ?ã b?t ghi log.,Robot; PC/SSH; htop/top; nhi?t k?/thermal camera.,"1. ??m b?o robot ? khu v?c an toàn.
2. K?t n?i SSH và m? `htop`.
3. Ghi CPU/RAM/nhi?t ?? ban ??u.
4. T?o CPU load kho?ng 90%.
5. Duy trì 60 phút.
6. Theo dõi nhi?t ?? và frequency m?i 5 phút.
7. Ki?m tra robot không m?t communication.
8. D?ng stress và ki?m tra log.","Robot ti?p t?c ho?t ??ng, không crash ho?c reboot b?t th??ng.",CPU trung bình ?85%; không reboot/crash; không m?t sensor/communication; nhi?t ?? trong gi?i h?n thi?t k?.,60 min,,,,,,Major
ST-CPU-006,CPU/GPU/AI Stress,CPU 95% Load Stress,Ki?m tra kh? n?ng ch?u t?i CPU g?n m?c t?i ?a.,Robot b?t bình th??ng; pin ?50%; robot ? v? trí an toàn; không có c?nh báo Critical; ?ã b?t ghi log.,Robot; PC/SSH; htop/top; nhi?t k?/thermal camera.,"1. Ki?m tra E-stop và ??t robot ? tr?ng thái an toàn.
2. M? `htop`.
3. Ghi thông s? ban ??u.
4. T?o CPU load kho?ng 95%.
5. Duy trì 60 phút.
6. Ghi CPU load, frequency và nhi?t ?? m?i 5 phút.
7. Quan sát c?nh báo h? th?ng.
8. D?ng stress tool và ki?m tra log.",CPU ch?u ???c t?i r?t cao; h? th?ng không b? treo ho?c t? kh?i ??ng l?i.,CPU trung bình ?90%; không reboot/crash; không kernel panic; nhi?t ?? không v??t gi?i h?n thi?t k?.,60 min,,,,,,Major
ST-CPU-007,CPU/GPU/AI Stress,CPU + GPU ??ng th?i 90%,Ki?m tra robot khi CPU và GPU cùng ch?u t?i cao.,Robot b?t bình th??ng; pin ?50%; robot ? v? trí an toàn; không có c?nh báo Critical; ?ã b?t ghi log.,Robot; công c? stress CPU/GPU; camera/AI; thermal camera; PC.,"1. ??t robot ? khu v?c an toàn.
2. Ki?m tra CPU/GPU/nhi?t ?? tr??c test.
3. T?o CPU load ?90%.
4. T?o GPU load ?90%.
5. B?t camera và workload AI.
6. Duy trì 60 phút.
7. Ghi CPU, GPU, RAM, nhi?t ?? và l?i m?i 5 phút.
8. Ki?m tra sensor và communication.
9. D?ng workload và ki?m tra log.",CPU/GPU duy trì t?i cao; robot không crash; sensor và communication v?n ho?t ??ng.,Không thermal shutdown; không reboot/crash; không m?t sensor/communication; nhi?t ?? trong gi?i h?n.,60 min,,,,,,Major
ST-CPU-008,CPU/GPU/AI Stress,AI inference liên t?c,Ki?m tra AI inference ch?y liên t?c trong th?i gian dài mà không suy gi?m b?t th??ng.,Robot b?t bình th??ng; camera ho?t ??ng; model AI ?ã ???c ki?m tra; pin ?50%; logging b?t.,Robot; camera; ?ng d?ng AI; PC; công c? ghi log.,"1. Kh?i ??ng robot và ki?m tra camera.
2. Ch?y ?ng d?ng AI inference.
3. Ki?m tra FPS và latency ban ??u.
4. Cho inference ch?y liên t?c trong 4 gi?.
5. M?i 15 phút ghi FPS, latency, CPU, GPU và RAM.
6. Ghi l?i m?i inference error ho?c process restart.
7. Sau 4 gi? d?ng inference.
8. Ki?m tra log và so sánh FPS/latency ??u-cu?i.",AI inference ch?y liên t?c; FPS và latency không suy gi?m b?t th??ng; không crash.,Không có Critical inference error; FPS và latency n?m trong requirement; không process crash/restart ngoài d? ki?n.,4 h,,,,,,Major
ST-CPU-009,CPU/GPU/AI Stress,Camera + AI + SLAM Stress,"Ki?m tra kh? n?ng x? lý perception khi camera, AI và SLAM ch?y cùng lúc.","Robot b?t bình th??ng; camera, SLAM và AI ?ã ki?m tra riêng; khu v?c di chuy?n an toàn; pin ?50%.",Robot; camera; AI application; SLAM; PC; ROS 2 monitoring.,"1. Ki?m tra camera, SLAM và AI ??u ho?t ??ng tr??c test.
2. ??t robot vào khu v?c có không gian an toàn.
3. B?t camera + SLAM + AI cùng lúc.
4. Cho robot th?c hi?n k?ch b?n di chuy?n ch?m.
5. Ghi CPU, GPU, FPS, latency và RAM m?i 5 phút.
6. Ki?m tra dropped frame và tr?ng thái ROS 2 node.
7. D?ng test và ki?m tra log.","Camera, AI và SLAM cùng ho?t ??ng; robot không m?t tracking ho?c crash.",Không node Critical b? crash; FPS và latency ??t requirement; không m?t frame v??t gi?i h?n.,2 h,,,,,,Major
ST-CPU-010,CPU/GPU/AI Stress,CPU/GPU Thermal Throttling,Ki?m tra h? th?ng có gi?m t?c ?? CPU/GPU ?úng cách khi nhi?t ?? t?ng cao.,Robot b?t bình th??ng; pin ?50%; có gi?i h?n nhi?t ?? thi?t k?; thermal camera ho?t ??ng; logging b?t.,Robot; monitoring tool; thermal camera; PC.,"1. Ghi nhi?t ?? và CPU/GPU frequency ban ??u.
2. T?o CPU và GPU load ?90% b?ng công c? ?ã phê duy?t.
3. Duy trì workload t?i ?a 2 gi?.
4. Ghi nhi?t ?? và frequency m?i phút.
5. N?u frequency gi?m, ghi chính xác th?i ?i?m và nhi?t ?? lúc x?y ra.
6. Ki?m tra robot có ti?p t?c ho?t ??ng ?n ??nh không.
7. D?ng workload khi ??t gi?i h?n an toàn.
8. Ki?m tra log.","N?u throttling x?y ra, h? th?ng gi?m frequency ?? b?o v? ph?n c?ng nh?ng v?n ho?t ??ng an toàn.",Nhi?t ?? không v??t gi?i h?n; throttling ?úng c? ch? thi?t k?; không thermal shutdown ngoài d? ki?n; không crash/reboot.,2 h,,,,,,Major
